category,region,count
Comedy,Australia,230
Comedy,Brazil,246
Comedy,Canada,270
Comedy,Germany,254
Comedy,India,247
Comedy,Japan,267
Comedy,UK,225
Comedy,US,259
Education,Australia,259
Education,Brazil,232
Education,Canada,245
Education,Germany,253
Education,India,234
Education,Japan,261
Education,UK,279
Education,US,235
Fashion,Australia,248
Fashion,Brazil,245
Fashion,Canada,244
Fashion,Germany,264
Fashion,India,255
Fashion,Japan,243
Fashion,UK,268
Fashion,US,251
Gaming,Australia,253
Gaming,Brazil,247
Gaming,Canada,251
Gaming,Germany,234
Gaming,India,248
Gaming,Japan,244
Gaming,UK,279
Gaming,US,277
Health,Australia,272
Health,Brazil,217
Health,Canada,242
Health,Germany,254
Health,India,255
Health,Japan,257
Health,UK,231
Health,US,252
Music,Australia,254
Music,Brazil,253
Music,Canada,249
Music,Germany,245
Music,India,230
Music,Japan,249
Music,UK,256
Music,US,232
News,Australia,255
News,Brazil,245
News,Canada,269
News,Germany,229
News,India,257
News,Japan,276
News,UK,218
News,US,254
Sports,Australia,253
Sports,Brazil,251
Sports,Canada,244
Sports,Germany,252
Sports,India,244
Sports,Japan,270
Sports,UK,273
Sports,US,231
Technology,Australia,248
Technology,Brazil,238
Technology,Canada,229
Technology,Germany,259
Technology,India,251
Technology,Japan,259
Technology,UK,238
Technology,US,216
Travel,Australia,261
Travel,Brazil,248
Travel,Canada,274
Travel,Germany,264
Travel,India,238
Travel,Japan,268
Travel,UK,249
Travel,US,244
