category,tags_split,count
Comedy,#education #learning,217
Comedy,#fashion #ootd,233
Comedy,#fitness #motivation,203
Comedy,#funny #viral,218
Comedy,#music #trending,199
Comedy,#news #update,244
Comedy,#sports #highlights,255
Comedy,#tech #review,217
Comedy,#travel #explore,212
Education,#education #learning,243
Education,#fashion #ootd,238
Education,#fitness #motivation,228
Education,#funny #viral,204
Education,#music #trending,215
Education,#news #update,196
Education,#sports #highlights,238
Education,#tech #review,218
Education,#travel #explore,218
Fashion,#casualstyle #fashionblog,518
Fashion,#fashion #ootd,506
Fashion,#outfitideas #trend,493
Fashion,#streetwear #style,501
Gaming,#gamers #play,503
Gaming,#gaming #esports,515
Gaming,#pcgames #gamerlife,475
Gaming,#vr #gamingcommunity,540
Health,#fitness #lifestyle,486
Health,#health #wellness,532
Health,#healthy #habits,483
Health,#mindfulness #meditation,479
Music,#education #learning,222
Music,#fashion #ootd,210
Music,#fitness #motivation,237
Music,#funny #viral,219
Music,#music #trending,212
Music,#news #update,210
Music,#sports #highlights,227
Music,#tech #review,211
Music,#travel #explore,220
News,#education #learning,240
News,#fashion #ootd,224
News,#fitness #motivation,247
News,#funny #viral,185
News,#music #trending,212
News,#news #update,197
News,#sports #highlights,221
News,#tech #review,238
News,#travel #explore,239
Sports,#basketball #training,532
Sports,#cricket #worldcup,478
Sports,#olympics #sports,493
Sports,#sports #football,515
Technology,#education #learning,211
Technology,#fashion #ootd,227
Technology,#fitness #motivation,216
Technology,#funny #viral,200
Technology,#music #trending,228
Technology,#news #update,199
Technology,#sports #highlights,205
Technology,#tech #review,238
Technology,#travel #explore,214
Travel,#backpacking #travelgram,508
Travel,#luxurytravel #vacation,531
Travel,#travel #explore,494
Travel,#wanderlust #adventure,513
