post_day,region,count
Friday,Australia,345
Friday,Brazil,365
Friday,Canada,345
Friday,Germany,331
Friday,India,341
Friday,Japan,368
Friday,UK,339
Friday,US,341
Monday,Australia,363
Monday,Brazil,311
Monday,Canada,359
Monday,Germany,340
Monday,India,344
Monday,Japan,369
Monday,UK,343
Monday,US,317
Saturday,Australia,352
Saturday,Brazil,347
Saturday,Canada,366
Saturday,Germany,353
Saturday,India,368
Saturday,Japan,387
Saturday,UK,354
Saturday,US,352
Sunday,Australia,353
Sunday,Brazil,360
Sunday,Canada,344
Sunday,Germany,377
Sunday,India,343
Sunday,Japan,310
Sunday,UK,337
Sunday,US,363
Thursday,Australia,374
Thursday,Brazil,360
Thursday,Canada,357
Thursday,Germany,365
Thursday,India,367
Thursday,Japan,425
Thursday,UK,399
Thursday,US,350
Tuesday,Australia,357
Tuesday,Brazil,380
Tuesday,Canada,373
Tuesday,Germany,392
Tuesday,India,357
Tuesday,Japan,355
Tuesday,UK,381
Tuesday,US,382
Wednesday,Australia,389
Wednesday,Brazil,299
Wednesday,Canada,373
Wednesday,Germany,350
Wednesday,India,339
Wednesday,Japan,380
Wednesday,UK,363
Wednesday,US,346
