platform,post_type,post_time,publish_hour,post_day,region,category,title,title_length,description_length,tags,creator_followers,likes,dislikes,comments,shares,views,engagement_rate,sentiment_score,viral_label,video_length,date,time,views_s,likes_s,engagement_rate_s,video_length_s
YouTube,carousel,2024-08-08 11:00:00,11,Thursday,US,Health,Daily Fitness Routine,2,33,#healthy #habits,8586313,3662,1126,425,701,139156,0.03440718,neutral,1,7,2024-08-08,11:00:00,0.2775155304276726,0.7181800353010394,1.9220353013569042e-05,0.011666666666666667
TikTok,reel,2022-04-19 04:00:00,4,Thursday,UK,Sports,Olympics Moments,2,116,#sports #football,7721821,1388,1459,207,870,106876,0.023063896,mixed,0,43,2022-04-19,04:00:00,0.2131402873752331,0.2722102373014316,1.0138384668495548e-05,0.07166666666666667
Instagram,carousel,2024-07-02 02:00:00,2,Wednesday,Australia,Gaming,Beginner’s Guide to eSports,2,107,#gamers #play,824372,324,860,113,336,13608,0.056800647,negative,0,10,2024-07-02,02:00:00,0.02713811361392803,0.06354187095508923,3.714961921464871e-05,0.016666666666666666
TikTok,article,2023-10-30 21:00:00,21,Monday,Canada,Sports,Olympics Moments,2,30,#sports #football,6788409,2798,1294,189,363,204254,0.016401067,mixed,0,0,2023-10-30,21:00:00,0.40733893725009224,0.5487350460874681,4.8038094196842095e-06,0.0
Twitter,image,2022-05-03 21:00:00,21,Thursday,Brazil,Fashion,Casual Style Hacks,2,256,#streetwear #style,6066453,3505,1130,247,295,346995,0.011662959,negative,1,0,2022-05-03,21:00:00,0.6920039486673248,0.687389684251814,1.0102566115609685e-06,0.0
TikTok,video,2024-06-24 05:00:00,5,Monday,Germany,Health,Mindfulness & Meditation,2,80,#mindfulness #meditation,5260018,4636,1095,212,159,389424,0.012857418,negative,1,146,2024-06-24,05:00:00,0.7766191031738909,0.9091978819376348,1.9665968413822548e-06,0.24333333333333335
Instagram,carousel,2024-11-27 13:00:00,13,Monday,Germany,Gaming,Top 10 PC Games 2024,2,92,#gaming #esports,5799724,124,1724,310,885,3844,0.343042913,negative,0,13,2024-11-27,13:00:00,0.007665998584063738,0.024318493822318103,0.00026632868224737413,0.021666666666666667
LinkedIn,reel,2024-04-07 20:00:00,20,Wednesday,US,News,Funny Moments,2,151,#sports #highlights,2518213,4683,1044,316,972,201369,0.029651885,neutral,1,89,2024-04-07,20:00:00,0.40158544975919114,0.918415375563836,1.5413039482365358e-05,0.14833333333333334
TikTok,live,2022-08-21 22:00:00,22,Thursday,Germany,News,Funny Moments,2,180,#education #learning,2809327,900,1638,122,491,47700,0.031718413,negative,0,57,2022-08-21,22:00:00,0.0951269855514673,0.1765051970974701,1.7067599297689387e-05,0.095
YouTube,reel,2022-10-29 13:00:00,13,Saturday,Germany,Education,Exploring New Trends,3,193,#fitness #motivation,4052352,746,121,176,291,53712,0.022582987,positive,0,90,2022-10-29,13:00:00,0.10711657542852016,0.1463031967052363,9.753346233871063e-06,0.15000000000000002
LinkedIn,carousel,2023-06-11 05:00:00,5,Wednesday,Australia,Sports,Basketball Training Tips,2,82,#cricket #worldcup,4528642,533,466,140,72,14391,0.051764869,mixed,0,24,2023-06-11,05:00:00,0.028699632055999284,0.10453030005883507,3.311773776049333e-05,0.04
Instagram,poll,2022-01-03 17:00:00,17,Wednesday,Australia,Health,Daily Fitness Routine,2,41,#health #wellness,5970319,1433,1238,58,62,53021,0.029289729,mixed,0,31,2022-01-03,17:00:00,0.1057385304177012,0.28103549715630516,1.512308030229207e-05,0.05166666666666667
Facebook,carousel,2023-06-22 06:00:00,6,Friday,Japan,Sports,Cricket World Cup Updates,2,137,#olympics #sports,1697102,348,330,127,324,26448,0.030209082,mixed,0,27,2023-06-22,06:00:00,0.05274462293218463,0.06824867621102176,1.5859157689047826e-05,0.045000000000000005
TikTok,reel,2022-06-06 20:00:00,20,Saturday,Brazil,Health,10 Tips for a Healthier Life,2,41,#healthy #habits,8728123,4999,1482,66,379,119976,0.045375364,negative,1,70,2022-06-06,20:00:00,0.23926530856442013,0.9803883114336144,2.8001998601472995e-05,0.11666666666666667
LinkedIn,live,2023-04-18 05:00:00,5,Wednesday,India,Music,Tech Review,2,124,#music #trending,1324711,2156,87,98,92,97020,0.024180332,mixed,0,55,2023-04-18,05:00:00,0.1934846989141165,0.4228280054912728,1.1032256003401777e-05,0.09166666666666667
