post_id,platform,post_type,post_time,publish_hour,post_day,region,category,title,title_length,description_length,tags,creator_followers,likes,dislikes,comments,shares,views,engagement_rate,sentiment_score,viral_label,video_length
1,YouTube,carousel,2024-08-08T11:00:00.000000000,11,Thursday,US,Health,Daily Fitness Routine,2,33,#healthy #habits,8586313,3662,1126,425,701,139156,0.03440718,neutral,0,7
2,TikTok,reel,2022-04-19T04:00:00.000000000,4,Thursday,UK,Sports,Olympics Moments,2,116,#sports #football,7721821,1388,1459,207,870,106876,0.023063896,mixed,1,43
3,Instagram,carousel,2024-07-02T02:00:00.000000000,2,Wednesday,Australia,Gaming,Beginner’s Guide to eSports,2,107,#gamers #play,824372,324,860,113,336,13608,0.056800647,negative,0,10
4,TikTok,article,2023-10-30T21:00:00.000000000,21,Monday,Canada,Sports,Olympics Moments,2,30,#sports #football,6788409,2798,1294,189,363,204254,0.016401067,mixed,1,0
5,Twitter,image,2022-05-03T21:00:00.000000000,21,Thursday,Brazil,Fashion,Casual Style Hacks,2,256,#streetwear #style,6066453,3505,1130,247,295,346995,0.011662959,negative,1,0
6,TikTok,video,2024-06-24T05:00:00.000000000,5,Monday,Germany,Health,Mindfulness & Meditation,2,80,#mindfulness #meditation,5260018,4636,1095,212,159,389424,0.012857418,negative,0,146
7,Instagram,carousel,2024-11-27T13:00:00.000000000,13,Monday,Germany,Gaming,Top 10 PC Games 2024,2,92,#gaming #esports,5799724,124,1724,310,885,3844,0.343042913,negative,1,13
8,LinkedIn,reel,2024-04-07T20:00:00.000000000,20,Wednesday,US,News,Funny Moments,2,151,#sports #highlights,2518213,4683,1044,316,972,201369,0.029651885,neutral,1,89
9,TikTok,live,2022-08-21T22:00:00.000000000,22,Thursday,Germany,News,Funny Moments,2,180,#education #learning,2809327,900,1638,122,491,47700,0.031718413,negative,0,57
10,YouTube,reel,2022-10-29T13:00:00.000000000,13,Saturday,Germany,Education,Exploring New Trends,3,193,#fitness #motivation,4052352,746,121,176,291,53712,0.022582987,positive,0,90
11,LinkedIn,carousel,2023-06-11T05:00:00.000000000,5,Wednesday,Australia,Sports,Basketball Training Tips,2,82,#cricket #worldcup,4528642,533,466,140,72,14391,0.051764869,mixed,0,24
12,Instagram,poll,2022-01-03T17:00:00.000000000,17,Wednesday,Australia,Health,Daily Fitness Routine,2,41,#health #wellness,5970319,1433,1238,58,62,53021,0.029289729,mixed,0,31
13,Facebook,carousel,2023-06-22T06:00:00.000000000,6,Friday,Japan,Sports,Cricket World Cup Updates,2,137,#olympics #sports,1697102,348,330,127,324,26448,0.030209082,mixed,0,27
14,TikTok,reel,2022-06-06T20:00:00.000000000,20,Saturday,Brazil,Health,10 Tips for a Healthier Life,2,41,#healthy #habits,8728123,4999,1482,66,379,119976,0.045375364,negative,1,70
15,LinkedIn,live,2023-04-18T05:00:00.000000000,5,Wednesday,India,Music,Tech Review,2,124,#music #trending,1324711,2156,87,98,92,97020,0.024180332,mixed,1,55
16,TikTok,carousel,2024-03-10T01:00:00.000000000,1,Friday,UK,News,Daily Vlog,2,170,#news #update,8620118,368,1396,260,239,18032,0.048078523,positive,0,18
17,YouTube,image,2023-04-26T04:00:00.000000000,4,Monday,India,Gaming,Beginner’s Guide to eSports,2,223,#gamers #play,3936170,1304,1123,27,215,95192,0.01624069,positive,0,0
18,TikTok,poll,2023-03-25T19:00:00.000000000,19,Saturday,Canada,Fashion,Casual Style Hacks,2,143,#streetwear #style,1014143,504,871,104,89,16128,0.043214086,positive,1,44
19,LinkedIn,carousel,2022-03-01T03:00:00.000000000,3,Saturday,US,News,Movie Review,2,103,#music #trending,6335178,2156,1687,132,700,103488,0.028872634,neutral,1,14
20,Twitter,reel,2022-08-17T05:00:00.000000000,5,Monday,Germany,News,Behind the Scenes,3,125,#travel #explore,6206709,3857,130,403,453,84854,0.055541807,positive,1,89
21,LinkedIn,carousel,2023-06-11T21:00:00.000000000,21,Tuesday,Brazil,Comedy,Tech Review,2,13,#tech #review,8224082,1677,1685,244,665,129129,0.02002633,positive,0,24
22,Instagram,article,2022-02-28T23:00:00.000000000,23,Saturday,Canada,Education,Breaking News,2,149,#funny #viral,5230201,5057,1332,169,812,480415,0.012568274,mixed,1,0
23,LinkedIn,carousel,2022-12-23T23:00:00.000000000,23,Sunday,Canada,Comedy,Tech Review,2,186,#fitness #motivation,2336161,2809,769,16,725,58989,0.060179691,negative,1,5
24,YouTube,video,2022-08-15T00:00:00.000000000,0,Tuesday,Brazil,Sports,Basketball Training Tips,3,170,#basketball #training,5435877,2150,343,486,629,202100,0.016155289,mixed,1,396
25,LinkedIn,carousel,2022-09-16T15:00:00.000000000,15,Monday,UK,Fashion,Casual Style Hacks,3,269,#casualstyle #fashionblog,8973716,1785,1515,203,307,83895,0.027355297,neutral,1,11
26,LinkedIn,live,2022-12-15T17:00:00.000000000,17,Thursday,Canada,Comedy,Breaking News,2,232,#fitness #motivation,1811144,2048,1437,35,415,196608,0.01270542,neutral,1,39
27,YouTube,image,2023-11-24T10:00:00.000000000,10,Tuesday,India,Comedy,Behind the Scenes,3,238,#news #update,4616507,3580,805,438,723,340100,0.013939977,neutral,1,0
28,LinkedIn,reel,2024-03-15T00:00:00.000000000,0,Wednesday,UK,Travel,Luxury Travel Destinations,3,190,#travel #explore,9882660,105,385,65,351,2205,0.236174071,positive,0,40
29,YouTube,story,2022-02-01T17:00:00.000000000,17,Saturday,Japan,Education,Tech Review,2,227,#education #learning,6154368,2040,1215,502,377,53040,0.055032899,positive,1,24
30,Instagram,video,2022-06-11T14:00:00.000000000,14,Sunday,India,Gaming,Virtual Reality Adventures,2,257,#vr #gamingcommunity,107415,1611,955,265,650,72495,0.034843302,positive,0,408
31,YouTube,story,2024-06-26T22:00:00.000000000,22,Tuesday,US,Music,Breaking News,2,211,#music #trending,6205341,2574,276,96,99,244530,0.011323718,negative,1,40
32,Instagram,carousel,2022-02-23T10:00:00.000000000,10,Saturday,Canada,Comedy,Funny Moments,2,109,#news #update,1038160,496,1184,148,735,17360,0.079430908,mixed,1,6
33,Instagram,article,2023-10-22T10:00:00.000000000,10,Monday,UK,Fashion,Summer Outfit Trends,3,138,#streetwear #style,1486301,2211,459,158,41,92862,0.025952209,positive,0,0
34,YouTube,poll,2024-01-06T07:00:00.000000000,7,Thursday,Canada,Education,Daily Vlog,2,150,#travel #explore,7037048,2322,1337,157,21,136998,0.018248308,neutral,1,7
35,LinkedIn,image,2024-07-09T07:00:00.000000000,7,Monday,Canada,Sports,Cricket World Cup Updates,3,57,#basketball #training,3674371,1638,21,204,136,129402,0.015285581,negative,0,0
36,TikTok,image,2022-05-31T13:00:00.000000000,13,Thursday,Canada,Travel,Top Beaches to Visit,2,20,#travel #explore,7094689,462,252,140,713,42504,0.030937537,negative,0,0
37,Twitter,article,2022-07-05T06:00:00.000000000,6,Saturday,Germany,Sports,Top Football Highlights,2,126,#basketball #training,8023876,276,747,106,305,14076,0.048803012,neutral,1,0
38,TikTok,image,2022-07-13T04:00:00.000000000,4,Tuesday,India,Comedy,Movie Review,2,57,#news #update,8606159,1967,856,242,455,66878,0.039833131,positive,1,0
39,YouTube,article,2024-09-05T21:00:00.000000000,21,Wednesday,US,Gaming,Top 10 PC Games 2024,2,198,#gaming #esports,5056550,3478,1584,252,75,111296,0.034187804,negative,1,0
40,LinkedIn,video,2022-05-21T23:00:00.000000000,23,Wednesday,US,Comedy,Breaking News,2,263,#funny #viral,9427373,1272,474,105,160,30528,0.050345573,neutral,0,324
41,Instagram,article,2024-03-19T01:00:00.000000000,1,Monday,Brazil,Travel,Backpacking Asia,2,213,#wanderlust #adventure,3142423,675,1082,174,279,63450,0.017777498,positive,0,0
42,Facebook,live,2024-01-21T06:00:00.000000000,6,Saturday,Canada,Music,Breaking News,2,129,#music #trending,163497,4601,510,226,725,427893,0.012975176,negative,1,20
43,Twitter,article,2022-10-31T03:00:00.000000000,3,Thursday,Australia,Comedy,Behind the Scenes,3,239,#news #update,4899519,1915,1705,35,409,135965,0.017349926,negative,0,0
44,TikTok,carousel,2022-01-02T05:00:00.000000000,5,Tuesday,Germany,Education,Life Hacks,2,193,#fitness #motivation,1278054,3462,1499,243,272,332352,0.011966193,mixed,1,9
45,LinkedIn,image,2023-11-27T12:00:00.000000000,12,Sunday,Australia,News,Fitness Motivation,2,149,#news #update,4494583,2914,699,191,310,174840,0.019532032,mixed,0,0
46,Twitter,carousel,2023-02-09T05:00:00.000000000,5,Thursday,Australia,Comedy,Cooking Tutorial,2,172,#education #learning,8050847,267,975,237,196,19224,0.036410923,negative,1,10
47,Facebook,poll,2024-02-09T21:00:00.000000000,21,Thursday,Brazil,Technology,Life Hacks,2,234,#education #learning,2396598,4963,1806,270,743,342447,0.017450825,negative,1,55
48,Facebook,article,2024-04-05T14:00:00.000000000,14,Thursday,India,Health,Daily Fitness Routine,2,184,#fitness #lifestyle,8656639,2073,189,72,141,70482,0.032433353,negative,0,0
49,Facebook,carousel,2023-11-20T08:00:00.000000000,8,Saturday,Canada,Health,10 Tips for a Healthier Life,2,254,#mindfulness #meditation,9766766,4972,957,243,0,129272,0.040340984,mixed,1,15
50,TikTok,story,2023-12-16T22:00:00.000000000,22,Tuesday,India,Music,Exploring New Trends,3,266,#tech #review,720149,4363,686,364,847,257417,0.021653497,positive,1,47
51,YouTube,carousel,2024-01-20T06:00:00.000000000,6,Saturday,Germany,Music,Exploring New Trends,3,159,#music #trending,7403392,2265,957,172,30,106455,0.023173893,mixed,0,21
52,Twitter,carousel,2023-02-06T22:00:00.000000000,22,Sunday,UK,Sports,Olympics Moments,2,28,#sports #football,7614546,2379,562,151,5,121329,0.020893431,neutral,1,22
53,YouTube,article,2022-04-19T11:00:00.000000000,11,Thursday,Canada,Education,Breaking News,2,221,#music #trending,2358648,3149,1899,156,146,107066,0.032232154,negative,0,0
54,Facebook,live,2022-04-14T08:00:00.000000000,8,Sunday,US,Sports,Olympics Moments,2,106,#sports #football,1841096,4959,1590,243,10,441351,0.011809168,neutral,1,57
55,LinkedIn,reel,2023-01-12T14:00:00.000000000,14,Sunday,Brazil,Travel,Top Beaches to Visit,2,17,#travel #explore,8847031,1411,1267,31,104,118524,0.013043662,neutral,1,65
56,Facebook,story,2024-10-29T14:00:00.000000000,14,Saturday,Canada,Travel,Luxury Travel Destinations,2,180,#luxurytravel #vacation,4131075,222,831,122,455,5106,0.156451929,neutral,1,24
57,YouTube,video,2024-03-24T02:00:00.000000000,2,Wednesday,Australia,Fashion,Summer Outfit Trends,2,177,#fashion #ootd,1133265,4583,1528,229,754,137490,0.04048265,mixed,1,349
58,Facebook,article,2023-01-28T13:00:00.000000000,13,Monday,UK,Gaming,Epic Gaming Moments,3,125,#vr #gamingcommunity,3975893,4798,1154,151,483,215910,0.025158514,mixed,0,0
59,Facebook,carousel,2023-11-12T10:00:00.000000000,10,Friday,US,Fashion,Best Evening Dresses,2,179,#fashion #ootd,9072146,3600,1508,86,77,288000,0.013065927,positive,1,10
60,YouTube,image,2024-08-10T10:00:00.000000000,10,Thursday,Brazil,News,Daily Vlog,2,186,#funny #viral,3138289,170,1842,86,294,9520,0.057767041,neutral,0,0
61,YouTube,article,2024-05-28T03:00:00.000000000,3,Sunday,India,Gaming,Epic Gaming Moments,2,175,#vr #gamingcommunity,7311858,446,646,81,100,18732,0.033470346,neutral,1,0
62,LinkedIn,live,2024-08-18T12:00:00.000000000,12,Wednesday,Canada,Comedy,Tech Review,2,146,#travel #explore,5596491,5010,20,487,41,295590,0.018735347,mixed,0,9
63,YouTube,reel,2022-04-27T12:00:00.000000000,12,Saturday,Australia,Sports,Olympics Moments,2,206,#olympics #sports,1953246,391,840,46,81,37536,0.013799718,neutral,1,45
64,LinkedIn,carousel,2022-02-16T23:00:00.000000000,23,Sunday,Japan,Fashion,Summer Outfit Trends,2,13,#outfitideas #trend,363369,545,166,344,835,22890,0.075313442,mixed,0,10
65,Instagram,reel,2022-09-28T22:00:00.000000000,22,Wednesday,UK,Gaming,Virtual Reality Adventures,3,88,#gamers #play,9015818,385,1297,113,443,13475,0.069827842,negative,1,29
66,Instagram,video,2023-07-02T11:00:00.000000000,11,Monday,Germany,Travel,Backpacking Asia,2,45,#wanderlust #adventure,6411547,3478,387,103,118,278240,0.013294231,negative,0,64
67,YouTube,article,2023-10-18T04:00:00.000000000,4,Monday,Japan,Comedy,Top 10 Facts,3,227,#news #update,858915,3472,600,271,650,302064,0.014543227,neutral,1,0
68,Facebook,reel,2023-06-20T02:00:00.000000000,2,Friday,Australia,Sports,Basketball Training Tips,3,84,#basketball #training,4037834,4863,315,241,747,481437,0.012153174,positive,1,41
69,Twitter,image,2024-12-10T02:00:00.000000000,2,Friday,Australia,Health,10 Tips for a Healthier Life,2,260,#fitness #lifestyle,1183416,869,13,305,272,43450,0.033278866,mixed,1,0
70,Facebook,carousel,2023-03-18T13:00:00.000000000,13,Sunday,Canada,Education,Life Hacks,2,275,#sports #highlights,2526447,2935,241,17,750,211320,0.017518373,negative,0,25
71,YouTube,image,2022-02-23T15:00:00.000000000,15,Friday,US,Gaming,Beginner’s Guide to eSports,2,275,#pcgames #gamerlife,6698677,4949,776,485,38,217756,0.025128928,negative,1,0
72,LinkedIn,article,2024-06-03T18:00:00.000000000,18,Tuesday,Germany,Health,Healthy Eating Habits,2,26,#fitness #lifestyle,3754720,1693,1369,256,662,106659,0.024479655,neutral,0,0
73,Facebook,article,2024-11-12T20:00:00.000000000,20,Tuesday,Japan,Comedy,Funny Moments,2,198,#music #trending,3675647,4986,564,392,679,154566,0.03918689,mixed,0,0
74,Instagram,live,2024-04-27T01:00:00.000000000,1,Wednesday,India,Technology,Funny Moments,2,28,#travel #explore,8283556,3445,897,169,781,96460,0.045562455,neutral,1,20
75,TikTok,poll,2023-07-24T08:00:00.000000000,8,Saturday,Canada,Travel,Exploring Paris in 3 Days,2,59,#wanderlust #adventure,7492057,592,1363,124,34,18352,0.040865254,mixed,0,25
76,YouTube,reel,2022-06-13T17:00:00.000000000,17,Monday,UK,Gaming,Top 10 PC Games 2024,2,216,#gamers #play,6953945,1979,91,398,141,174152,0.014458551,positive,0,83
77,Facebook,reel,2024-01-11T11:00:00.000000000,11,Thursday,UK,Education,Daily Vlog,2,253,#travel #explore,5626398,3099,1390,81,943,226227,0.018224977,mixed,1,18
78,TikTok,reel,2024-12-13T01:00:00.000000000,1,Monday,Germany,Gaming,Epic Gaming Moments,3,216,#vr #gamingcommunity,2466869,3301,955,262,624,240973,0.017375318,negative,1,83
79,Facebook,story,2022-05-16T23:00:00.000000000,23,Tuesday,India,Travel,Luxury Travel Destinations,2,140,#luxurytravel #vacation,9532590,513,1478,473,692,24111,0.069591904,neutral,0,28
80,LinkedIn,article,2024-11-23T14:00:00.000000000,14,Wednesday,Australia,Technology,Behind the Scenes,3,35,#tech #review,9479450,682,1451,33,480,51150,0.023362202,mixed,1,0
81,LinkedIn,article,2022-03-22T07:00:00.000000000,7,Thursday,Canada,Education,Tech Review,2,197,#education #learning,5641270,349,508,35,71,30712,0.014814574,negative,0,0
82,LinkedIn,video,2024-10-11T22:00:00.000000000,22,Friday,India,Fashion,Streetwear Collection 2024,2,145,#streetwear #style,9522452,2064,775,492,639,198144,0.016124555,neutral,1,406
83,TikTok,story,2024-04-28T13:00:00.000000000,13,Friday,Australia,Music,Fitness Motivation,2,80,#fashion #ootd,4677548,5061,1966,470,759,389697,0.016140704,neutral,1,27
84,Twitter,image,2023-03-05T19:00:00.000000000,19,Tuesday,Germany,Comedy,Breaking News,2,95,#sports #highlights,1371009,1783,34,220,285,172951,0.013229104,positive,1,0
85,TikTok,article,2024-01-26T09:00:00.000000000,9,Wednesday,India,Sports,Basketball Training Tips,2,252,#basketball #training,8936342,0,205,284,901,0,1185.0,negative,1,0
86,YouTube,poll,2024-04-28T20:00:00.000000000,20,Sunday,Brazil,News,Exploring New Trends,3,12,#sports #highlights,4754371,3088,1104,105,957,188368,0.022031226,mixed,0,47
87,YouTube,live,2023-07-21T06:00:00.000000000,6,Saturday,Australia,Fashion,Casual Style Hacks,2,120,#outfitideas #trend,4011661,4947,1955,512,417,281979,0.020838357,negative,1,47
88,Instagram,video,2023-06-13T03:00:00.000000000,3,Monday,Canada,Comedy,Cooking Tutorial,2,52,#sports #highlights,9899083,228,1585,118,455,19836,0.04037909,neutral,1,36
89,Instagram,video,2024-01-04T17:00:00.000000000,17,Tuesday,Canada,Education,Funny Moments,2,214,#funny #viral,3563853,218,1895,160,260,15696,0.040644709,positive,1,149
90,YouTube,carousel,2024-10-17T10:00:00.000000000,10,Saturday,US,Education,Exploring New Trends,3,294,#tech #review,5296573,1946,1411,202,351,101192,0.024695384,mixed,0,28
91,Facebook,article,2024-08-02T10:00:00.000000000,10,Saturday,Canada,Gaming,Top 10 PC Games 2024,2,179,#pcgames #gamerlife,6664219,1952,1025,124,164,175680,0.012750383,positive,1,0
92,YouTube,poll,2022-09-06T19:00:00.000000000,19,Monday,Brazil,Sports,Cricket World Cup Updates,2,248,#sports #football,9411151,573,1021,20,489,42975,0.025176843,positive,1,45
